ID;order_ID;product_ID;quantity;price
44444444-4444-4444-4444-444444444401;33333333-3333-3333-3333-333333333301;22222222-2222-2222-2222-222222222201;2;42000.00
44444444-4444-4444-4444-444444444402;33333333-3333-3333-3333-333333333301;22222222-2222-2222-2222-222222222203;1;9800.00
44444444-4444-4444-4444-444444444403;33333333-3333-3333-3333-333333333302;22222222-2222-2222-2222-222222222205;1;38000.00
44444444-4444-4444-4444-444444444404;33333333-3333-3333-3333-333333333302;22222222-2222-2222-2222-222222222204;1;2200.00
44444444-4444-4444-4444-444444444405;33333333-3333-3333-3333-333333333303;22222222-2222-2222-2222-222222222205;1;38000.00
44444444-4444-4444-4444-444444444406;33333333-3333-3333-3333-333333333304;22222222-2222-2222-2222-222222222206;1;18500.00
44444444-4444-4444-4444-444444444407;33333333-3333-3333-3333-333333333304;22222222-2222-2222-2222-222222222207;1;950.00
44444444-4444-4444-4444-444444444408;33333333-3333-3333-3333-333333333306;22222222-2222-2222-2222-222222222201;1;42000.00
44444444-4444-4444-4444-444444444409;33333333-3333-3333-3333-333333333306;22222222-2222-2222-2222-222222222203;1;9800.00
44444444-4444-4444-4444-444444444410;33333333-3333-3333-3333-333333333307;22222222-2222-2222-2222-222222222203;1;9800.00
